seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,payment_contribution_source,payment_fallback_reason,payment_contribution_weights,payment_requests,paid_total
5,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[20, 18, 3]","[0.3728539235895875, 0.3526556687394589, 0.2744904076709535]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.0201095437757748,0.020472523445884388,0.020472523445884388,stage3_l_opt,l_opt_current_alpha,,0.0,297,840,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
5,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[20, 18, 3]","[0.3728539235895875, 0.3526556687394589, 0.2744904076709535]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.0201095437757748,0.020472523445884388,0.020472523445884388,stage3_l_opt,l_opt_current_alpha,,0.0,297,840,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
6,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[18, 19, 3]","[0.3493537306424939, 0.37236512971503266, 0.2782811396424733]","[0.41179826198636393, 0.29412884999617817, 0.29407288801745785]",[],3,2,False,uninformative_contribution,0.5,2,0,0.004470190129957086,0.015637246891856194,0.015637246891856194,stage3_l_opt,l_opt_current_alpha,,0.0,1752,5376,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
6,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[18, 19, 3]","[0.3493537306424939, 0.37236512971503266, 0.2782811396424733]","[0.5471498507218026, 0.2268469431417004, 0.22600320613649708]","[0.27644667325092537, 0.361410756850656, 0.3621425698984186]",3,1,False,uninformative_contribution,0.5,1,1,0.0021054256683335736,0.007810634250442187,0.007810634250442187,stage3_l_opt,l_opt_current_alpha,0.5414063549417543,0.0,1752,5376,ok,eval,,"[0.2752857210043456, 0.3619837654938667, 0.3627305135017877]",0,10.0
7,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[15, 13, 9]","[0.46598568727126066, 0.2556701080586334, 0.27834420467010595]","[0.006666666666690893, 0.3039295906065383, 0.6894037427267709]","[0.006666666666666667, 0.6616841212649195, 0.33164921206841386]",200,199,False,max_rounds,0.5,199,0,0.0019662502618280064,0.012559682751695314,0.012559682751695314,stage3_l_opt,l_opt_current_alpha,0.7155090613167624,0.0,61425,201939,ok,eval,,"[0.0, 0.6683851577533192, 0.3316148422466808]",0,10.0
7,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[15, 13, 9]","[0.46598568727126066, 0.2556701080586334, 0.27834420467010595]","[0.00670743741416576, 0.26240027510512626, 0.730892287480708]","[0.006666666666666667, 0.6543754006111077, 0.3389579327222257]",200,84,False,max_rounds,0.05,81,118,0.00497434922798734,0.0123009259502093,0.0123009259502093,stage3_l_opt,l_opt_current_alpha,0.7839502510119628,0.0,66156,199152,ok,eval,,"[0.0, 0.6609272795351439, 0.33907272046485615]",0,10.0
8,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[1, 18, 9]","[0.4665876591765998, 0.2816303085285814, 0.2517820322948189]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.015631065190199023,0.00694695549706618,0.00694695549706618,stage3_l_opt,l_opt_current_alpha,,0.0,537,1074,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
8,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[1, 18, 9]","[0.4665876591765998, 0.2816303085285814, 0.2517820322948189]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.015631065190199023,0.00694695549706618,0.00694695549706618,stage3_l_opt,l_opt_current_alpha,,0.0,537,1074,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
9,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[16, 8, 1]","[0.381457437556298, 0.28159936591932666, 0.33694319652437527]","[0.1672305649999995, 0.17276943500000047, 0.66]","[0.4883487402106177, 0.5049845931227156, 0.006666666666666667]",200,199,False,max_rounds,0.5,199,0,0.006422570721640536,0.01255651687582334,0.01255651687582334,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,54702,293340,ok,eval,,"[0.4915123199428072, 0.5084876800571928, 0.0]",0,10.0
9,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[16, 8, 1]","[0.381457437556298, 0.28159936591932666, 0.33694319652437527]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.006666666666666667, 0.9866666666666667]",3,0,False,uninformative_contribution,0.25,0,2,0.00979288672676772,0.00694693997502327,0.00694693997502327,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,780,4452,ok,eval,,"[0.0, 0.0, 1.0]",0,10.0
10,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[18, 8, 14]","[0.3341963286946278, 0.32396449828209883, 0.3418391730232733]","[0.16999999999999998, 0.66, 0.16999999999999998]",[],2,1,False,uninformative_contribution,0.5,1,0,0.03117590374456479,0.025400550415118534,0.025400550415118534,stage3_l_opt,l_opt_current_alpha,,0.0,528,1428,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
10,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[18, 8, 14]","[0.3341963286946278, 0.32396449828209883, 0.3418391730232733]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.9866666666666667, 0.006666666666666667]",2,0,False,uninformative_contribution,0.5,0,1,0.0023854643988938107,0.01384574423233668,0.01384574423233668,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,528,1428,ok,eval,,"[0.0, 1.0, 0.0]",0,10.0
11,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[20, 8, 17]","[0.48645784400931996, 0.277733020137071, 0.23580913585360905]","[0.9863475754695024, 0.006826171875, 0.00682625265549771]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",12,11,True,fixed_point_tolerance,0.5,11,0,0.00916302876149079,0.0036158631555736065,0.0036158631555736065,stage3_l_opt,l_opt_current_alpha,0.0006381823943287096,0.0,9786,17541,ok,eval,,"[1.0, 0.0, 0.0]",0,10.0
11,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[20, 8, 17]","[0.48645784400931996, 0.277733020137071, 0.23580913585360905]","[0.9863475754695024, 0.006826171875, 0.00682625265549771]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",12,11,True,fixed_point_tolerance,0.5,11,0,0.00916302876149079,0.0036158631555736065,0.0036158631555736065,stage3_l_opt,l_opt_current_alpha,0.0006381823943287096,0.0,9786,17541,ok,eval,,"[1.0, 0.0, 0.0]",0,10.0
12,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[18, 15, 17]","[0.37706601689927144, 0.2557519912584921, 0.3671819918422366]","[0.5179095028410159, 0.47534176222778624, 0.006748734931197958]","[0.5181844515477844, 0.475148881785549, 0.006666666666666667]",44,43,True,fixed_point_tolerance,0.5,43,0,0.014275413779433699,0.008257795125246048,0.008257795125246048,stage3_l_opt,l_opt_current_alpha,0.0005498974135370186,0.0,38304,50517,ok,eval,,"[0.5219569233480792, 0.47804307665192075, 0.0]",0,10.0
12,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[18, 15, 17]","[0.37706601689927144, 0.2557519912584921, 0.3671819918422366]","[0.4445629359617211, 0.2752028742970554, 0.2802341897412234]","[0.7391934370396017, 0.20826347468994702, 0.05254308827045126]",200,5,False,max_rounds,0.05,2,197,0.0083560729556214,0.006088757266600926,0.006088757266600926,stage3_l_opt,l_opt_current_alpha,0.5892610021557612,0.0,246759,342567,ok,eval,,"[0.7474762962989132, 0.20571102859518403, 0.04681267510590264]",0,10.000000000000002
13,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[17, 6, 9]","[0.392236850850792, 0.34176404642194835, 0.26599910272725963]","[0.0070244658780254906, 0.9862689619713839, 0.0067065721505906025]","[0.006688762795242454, 0.986644570538091, 0.006666666666666667]",14,13,True,fixed_point_tolerance,0.5,13,0,0.022243534072541704,0.012428857075671354,0.012428857075671354,stage3_l_opt,l_opt_current_alpha,0.0007512171334140135,0.0,3168,19938,ok,eval,,"[2.2547069975293158e-05, 0.9999774529300247, 0.0]",0,10.0
13,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[17, 6, 9]","[0.392236850850792, 0.34176404642194835, 0.26599910272725963]","[0.0070244658780254906, 0.9862689619713839, 0.0067065721505906025]","[0.006688762795242454, 0.986644570538091, 0.006666666666666667]",14,13,True,fixed_point_tolerance,0.5,13,0,0.022243534072541704,0.012428857075671354,0.012428857075671354,stage3_l_opt,l_opt_current_alpha,0.0007512171334140135,0.0,3168,19938,ok,eval,,"[2.2547069975293158e-05, 0.9999774529300247, 0.0]",0,10.0
14,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[15, 5, 6]","[0.4114648729408524, 0.33719269563671106, 0.2513424314224367]","[0.9863279506833472, 0.006834333474625916, 0.006837715842026894]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",12,11,True,fixed_point_tolerance,0.5,11,0,0.001376671898484099,0.008076914896567663,0.008076914896567663,stage3_l_opt,l_opt_current_alpha,0.0006774319666389469,0.0,2640,23151,ok,eval,,"[1.0, 0.0, 0.0]",0,10.0
14,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[15, 5, 6]","[0.4114648729408524, 0.33719269563671106, 0.2513424314224367]","[0.9863279506833472, 0.006834333474625916, 0.006837715842026894]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",12,11,True,fixed_point_tolerance,0.5,11,0,0.001376671898484099,0.008076914896567663,0.008076914896567663,stage3_l_opt,l_opt_current_alpha,0.0006774319666389469,0.0,2640,23151,ok,eval,,"[1.0, 0.0, 0.0]",0,10.0
15,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[12, 16, 3]","[0.42458352407523203, 0.3089492750106594, 0.2664672009141086]","[0.5783333333333334, 0.15529771500017833, 0.26636895166648833]",[],3,2,False,uninformative_contribution,0.5,2,0,0.0013421745294761762,0.007742129033431411,0.007742129033431411,stage3_l_opt,l_opt_current_alpha,,0.0,2421,4674,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 1.0, 0.0]",3,10.0
15,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[12, 16, 3]","[0.42458352407523203, 0.3089492750106594, 0.2664672009141086]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.27452419333404665, 0.7188091399992866]",200,0,False,max_rounds,0.05,0,199,0.010581442761669377,0.005644686209658782,0.005644686209658782,stage3_l_opt,l_opt_current_alpha,0.7709516133319066,0.0,134256,270894,ok,eval,,"[0.0, 0.273324006803449, 0.726675993196551]",0,10.0
16,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 10, 2]","[0.36554068381743127, 0.30588194063743335, 0.32857737554513533]","[0.2539892704117514, 0.6393242887111203, 0.10668644087712831]",[],158,157,False,uninformative_contribution,0.5,157,0,0.03498281604904886,0.018317518134911854,0.018317518134911854,stage3_l_opt,l_opt_current_alpha,,0.0,38631,175707,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 1.0, 0.0]",3,10.0
16,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[8, 10, 2]","[0.36554068381743127, 0.30588194063743335, 0.32857737554513533]","[0.46188961818461244, 0.3064759237810961, 0.2316344580342915]","[0.4984057535475183, 0.28983551797000584, 0.21175872848247582]",200,6,False,max_rounds,0.05,5,194,0.016688264481620113,0.010746020823717117,0.010746020823717117,stage3_l_opt,l_opt_current_alpha,0.07303227072581184,0.0,56106,174522,ok,eval,,"[0.5017745784498486, 0.2889478074523869, 0.20927761409776446]",0,10.0
17,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[19, 14, 15]","[0.43312189581145044, 0.31999163326538566, 0.24688647092316396]","[0.22778701596932535, 0.16999999999999998, 0.6022129840306747]",[],2,1,False,uninformative_contribution,0.5,1,0,0.03552485067873421,0.01989417461057504,0.01989417461057504,stage3_l_opt,l_opt_current_alpha,,0.0,1449,1902,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
17,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[19, 14, 15]","[0.43312189581145044, 0.31999163326538566, 0.24688647092316396]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.12224069860531737, 0.006666666666666667, 0.871092634728016]",2,0,False,uninformative_contribution,0.5,0,1,0.0006508197613193899,0.0132973895718654,0.0132973895718654,stage3_l_opt,l_opt_current_alpha,1.0755186027893653,0.0,1449,1902,ok,eval,,"[0.1179326856516844, 0.0, 0.8820673143483156]",0,10.0
18,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 10, 6]","[0.45959297867582394, 0.28565078512786485, 0.2547562361963112]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.011424451487007669,0.0025246466199556985,0.0025246466199556985,stage3_l_opt,l_opt_current_alpha,,0.0,117,525,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
18,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[8, 10, 6]","[0.45959297867582394, 0.28565078512786485, 0.2547562361963112]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.011424451487007669,0.0025246466199556985,0.0025246466199556985,stage3_l_opt,l_opt_current_alpha,,0.0,117,525,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
19,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[10, 8, 18]","[0.3984081239269777, 0.3523335035096514, 0.2492583725633708]","[0.43668629498615397, 0.1606308468304603, 0.4026828581833857]","[0.4365667494897158, 0.1608308955978208, 0.4026023549124634]",8,7,True,fixed_point_tolerance,0.5,7,0,0.02219378338090111,0.01107329378525416,0.01107329378525416,stage3_l_opt,l_opt_current_alpha,0.0004000975347209501,0.0,4680,5154,ok,eval,,"[0.43867355390107055, 0.15731043768485117, 0.4040160084140783]",0,10.0
19,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[10, 8, 18]","[0.3984081239269777, 0.3523335035096514, 0.2492583725633708]","[0.36820560055223406, 0.27506247668526596, 0.3567319227625]","[0.4183551811328227, 0.1912635368965641, 0.39038128197061334]",200,4,False,max_rounds,0.05,2,197,0.020626603976590052,0.01096365600824356,0.01096365600824356,stage3_l_opt,l_opt_current_alpha,0.16759787957740385,0.0,51963,121830,ok,eval,,"[0.42009032088383264, 0.18836415329581369, 0.3915455258203537]",0,10.0
20,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[17, 11, 10]","[0.4483165027008619, 0.28458531095705364, 0.2670981863420845]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.003687141118953449,0.011514744410912195,0.011514744410912195,stage3_l_opt,l_opt_current_alpha,,0.0,135,1509,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
20,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[17, 11, 10]","[0.4483165027008619, 0.28458531095705364, 0.2670981863420845]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.003687141118953449,0.011514744410912195,0.011514744410912195,stage3_l_opt,l_opt_current_alpha,,0.0,135,1509,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
21,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[2, 9, 10]","[0.40623913667891914, 0.36194171975397477, 0.23181914356710612]","[0.9863446293868001, 0.006828096471188636, 0.0068272741420112235]","[0.9866640072003645, 0.006668906217236874, 0.006667086582398578]",12,11,True,fixed_point_tolerance,0.5,11,0,0.009730379549861515,0.00424720657368501,0.00424720657368501,stage3_l_opt,l_opt_current_alpha,0.0006387556271287998,0.0,2523,15102,ok,eval,,"[0.9999977147433369, 2.2852566630841336e-06, 0.0]",0,10.0
21,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[2, 9, 10]","[0.40623913667891914, 0.36194171975397477, 0.23181914356710612]","[0.8947916666666668, 0.05260416666666665, 0.05260416666666665]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",200,5,False,max_rounds,0.05,4,195,0.019058835377253835,0.015849163755774498,0.015849163755774498,stage3_l_opt,l_opt_current_alpha,0.1837499999999999,0.0,48522,235836,ok,eval,,"[1.0, 0.0, 0.0]",0,10.0
22,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[1, 19, 6]","[0.3883730512755489, 0.3242492465842478, 0.28737770214020336]","[0.9863268116017561, 0.006830900191688027, 0.006842288206555916]","[0.9866312370588877, 0.006672793591320189, 0.006695969349792144]",12,11,True,fixed_point_tolerance,0.5,11,0,0.0020376753071077724,0.00280926376581192,0.00280926376581192,stage3_l_opt,l_opt_current_alpha,0.0006088509142632183,0.0,7332,15504,ok,eval,,"[0.9999638473390009, 6.2519639321640725e-06, 2.9900697066811802e-05]",0,10.0
22,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[1, 19, 6]","[0.3883730512755489, 0.3242492465842478, 0.28737770214020336]","[0.809264629269939, 0.09536112683606918, 0.09537424389399173]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",200,8,False,max_rounds,0.05,5,194,0.0020315572287158135,0.002831819156805674,0.002831819156805674,stage3_l_opt,l_opt_current_alpha,0.3548040747934552,0.0,30609,265215,ok,eval,,"[1.0, 0.0, 0.0]",0,10.0
23,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[3, 18, 5]","[0.36609480630527397, 0.3196368032667526, 0.31426839042797344]","[0.986094350253009, 0.007036559343372098, 0.006869090403619001]","[0.9865623325092857, 0.006771000824047613, 0.006666666666666667]",44,43,True,fixed_point_tolerance,0.5,43,0,0.0064813003476992224,0.0030459587772687278,0.0030459587772687278,stage3_l_opt,l_opt_current_alpha,0.0009359645125535734,0.0,7497,49719,ok,eval,,"[0.9998935365741011, 0.0001064634258989249, 0.0]",0,10.0
23,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[3, 18, 5]","[0.36609480630527397, 0.3196368032667526, 0.31426839042797344]","[0.6604196019815307, 0.17367898841628024, 0.16590140960218908]","[0.6621862073574302, 0.16891424470077387, 0.1688995479417959]",200,4,False,max_rounds,0.05,3,196,0.007804054623689165,0.0025250365336736045,0.0025250365336736045,stage3_l_opt,l_opt_current_alpha,0.009529487431012645,0.0,26223,223857,ok,eval,,"[0.6688974905007791, 0.16555875309602777, 0.1655437564031931]",0,10.0
24,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[13, 20, 7]","[0.4572396236279282, 0.2299679008300801, 0.3127924755419918]","[0.006869176662854349, 0.9862482335087317, 0.006882589828413921]","[0.006666666666666665, 0.9866657461448844, 0.00666758718844883]",12,11,True,fixed_point_tolerance,0.5,11,0,0.02460265048773364,0.007042243455847104,0.007042243455847104,stage3_l_opt,l_opt_current_alpha,0.000835025272305525,0.0,3093,16155,ok,eval,,"[0.0, 0.9999990606920591, 9.393079409847192e-07]",0,10.0
24,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[13, 20, 7]","[0.4572396236279282, 0.2299679008300801, 0.3127924755419918]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.09440774627799073, 0.7855279390515507, 0.12006431467045862]",200,0,False,max_rounds,0.05,0,199,0.024665167353697344,0.0026645331333080926,0.0026645331333080926,stage3_l_opt,l_opt_current_alpha,0.9043892114364347,0.0,59322,252582,ok,eval,,"[0.08953171388910619, 0.7947564003927388, 0.11571188571815506]",0,10.0
25,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[9, 19, 20]","[0.3675861669249263, 0.3532777682294573, 0.2791360648456166]","[0.5324696798766795, 0.4608636533788968, 0.006666666744423795]","[0.532192061752996, 0.46114127158033735, 0.006666666666666668]",34,33,True,fixed_point_tolerance,0.5,33,0,0.006674163115287125,0.006349466430644195,0.006349466430644195,stage3_l_opt,l_opt_current_alpha,0.0005552364028811249,0.0,30462,41619,ok,eval,,"[0.5362504031493156, 0.46374959685068434, 0.0]",0,10.0
25,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[9, 19, 20]","[0.3675861669249263, 0.3532777682294573, 0.2791360648456166]","[0.39350456110328497, 0.5181621055633816, 0.08833333333333332]","[0.5566275214451235, 0.3513903186320297, 0.09198215992284685]",200,2,False,max_rounds,0.05,2,197,0.002764055459538191,0.0041942090416948,0.0041942090416948,stage3_l_opt,l_opt_current_alpha,0.333543573862704,0.0,140328,271023,ok,eval,,"[0.5611845456923028, 0.3517588285360847, 0.08705662577161241]",0,10.0
