seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,payment_contribution_source,payment_fallback_reason,payment_contribution_weights,payment_requests,paid_total
5,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[2.8130033684264264e-05, 0.1536914849375397, 0.2450844056789864, 0.3698635338598678, 0.23133244548992188]","[0.10200000000000001, 0.10200000000000001, 0.10200000000000001, 0.592, 0.10200000000000001]",[],2,1,False,uninformative_contribution,0.5,1,0,0.03715761159787906,0.0397790198524793,0.0397790198524793,stage3_l_opt,l_opt_current_alpha,,0.10200000000000001,4090,14330,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 0.0, 1.0, 0.0, 0.0]",5,10.0
5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[2.8130033684264264e-05, 0.1536914849375397, 0.2450844056789864, 0.3698635338598678, 0.23133244548992188]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.004, 0.004, 0.004, 0.984, 0.004]",2,0,False,uninformative_contribution,0.5,0,1,0.00600328062272551,0.023959896837671597,0.023959896837671597,stage3_l_opt,l_opt_current_alpha,1.568,0.2,4090,14330,ok,eval,,"[0.0, 0.0, 0.0, 1.0, 0.0]",0,10.0
6,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.7531970869868334e-05, 0.06596544496746642, 0.21044904597988878, 0.43607838059350645, 0.28748959648826833]","[0.37673261532649416, 0.038532974910262766, 0.14936503440854784, 0.3974725085818963, 0.03789686677279892]",[],45,44,False,uninformative_contribution,0.5,44,0,0.03171908376982849,0.03942746048172315,0.03942746048172315,stage3_l_opt,l_opt_current_alpha,,0.37673261532649416,75510,320430,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 0.0, 0.0, 1.0, 0.0]",5,10.0
6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.7531970869868334e-05, 0.06596544496746642, 0.21044904597988878, 0.43607838059350645, 0.28748959648826833]","[0.15100000000000002, 0.15100000000000002, 0.15100000000000002, 0.396, 0.15100000000000002]","[0.008915295660696805, 0.06541545082565038, 0.033387148803640944, 0.6415389740865108, 0.25074313062350106]",200,2,False,max_rounds,0.05,1,198,0.004312960330781129,0.002085598806540171,0.002085598806540171,stage3_l_opt,l_opt_current_alpha,0.6905642094200238,0.15100000000000002,604640,2037160,ok,eval,,"[0.005015607817037556, 0.06266882737311263, 0.029986886534327493, 0.6505499735576641, 0.25177870471785824]",0,10.0
7,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[5.1997864188056995e-05, 0.1921260360658335, 0.177482230602197, 0.34317242462192676, 0.2871673108458547]","[0.15581671160149987, 0.09209290697709742, 0.2248808094058531, 0.27418440559133095, 0.25302516642421863]",[],7,6,False,uninformative_contribution,0.5,6,0,0.02325459560030463,0.036138735711574554,0.036138735711574554,stage3_l_opt,l_opt_current_alpha,,0.15581671160149987,8365,50090,ok,opt_fallback,no_positive_eval_contribution,"[0.17941532909199182, 0.8205846709080082, 0.0, 0.0, 0.0]",5,10.0
7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[5.1997864188056995e-05, 0.1921260360658335, 0.177482230602197, 0.34317242462192676, 0.2871673108458547]","[0.20380061119968904, 0.20252639588712446, 0.198302688780124, 0.19766546887176664, 0.19770483526129587]","[0.27526845987755766, 0.25407891902396496, 0.16654955552551506, 0.15111887279441177, 0.15298419277855052]",200,5,False,max_rounds,0.05,1,198,0.010856210861585974,0.009151869143048922,0.009151869143048922,stage3_l_opt,l_opt_current_alpha,0.24604074362941827,0.20380061119968904,353970,1334330,ok,eval,,"[0.276804550895467, 0.25518257043261733, 0.16586689339338273, 0.15012129876980793, 0.15202468650872503]",0,10.0
8,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.1650676905008068e-05, 0.5648165438065024, 0.11025544073227393, 0.28669419245259165, 0.03822217233172725]","[0.016167745305676426, 0.006155131878892363, 0.013355423674842699, 0.9175933056614844, 0.04672839347910407]",[],43,42,False,uninformative_contribution,0.5,42,0,0.0038501699051738253,0.029947806149721146,0.029947806149721146,stage3_l_opt,l_opt_current_alpha,,0.016167745305676426,65220,346255,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],5,
8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.1650676905008068e-05, 0.5648165438065024, 0.11025544073227393, 0.28669419245259165, 0.03822217233172725]","[0.19751428545746516, 0.19129632333607477, 0.20399905029064258, 0.20589549708275864, 0.20129484383305887]","[0.16802972114776862, 0.04123236180599618, 0.009972412371168096, 0.47324765532187146, 0.30751784935319554]",200,5,False,max_rounds,0.05,1,198,0.01764262006953686,0.0031754945715268454,0.0031754945715268454,stage3_l_opt,l_opt_current_alpha,0.7471503275184991,0.19751428545746516,413190,1709115,ok,eval,,"[0.16737726647731493, 0.037992205924485906, 0.006094298337926629, 0.4788241380835423, 0.30971209117673015]",0,10.0
9,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4511585698600714e-05, 0.31730209124404146, 0.17527268110673042, 0.25086150173874877, 0.2565492143247809]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,0,False,uninformative_contribution,0.5,0,0,0.010684899365535357,0.013129315959910551,0.013129315959910551,stage3_l_opt,l_opt_current_alpha,,0.2,1795,10175,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],5,
9,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4511585698600714e-05, 0.31730209124404146, 0.17527268110673042, 0.25086150173874877, 0.2565492143247809]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,0,False,uninformative_contribution,0.5,0,0,0.010684899365535357,0.013129315959910551,0.013129315959910551,stage3_l_opt,l_opt_current_alpha,,0.2,1795,10175,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],5,
10,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.880931385354106e-05, 0.2126285711684439, 0.19996790713217852, 0.11221833421439838, 0.47514637817112565]","[0.011412636078994252, 0.015385784665352358, 0.34112259622935254, 0.5258271614114712, 0.10625182161482949]",[],11,10,False,uninformative_contribution,0.5,10,0,0.018176638676064713,0.021705692013104756,0.021705692013104756,stage3_l_opt,l_opt_current_alpha,,0.011412636078994252,27080,53930,ok,opt_fallback,no_positive_eval_contribution,"[0.18052327252915518, 0.0512200794565341, 0.0, 0.6590706396797831, 0.10918600833452766]",5,10.0
10,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.880931385354106e-05, 0.2126285711684439, 0.19996790713217852, 0.11221833421439838, 0.47514637817112565]","[0.10200000000000001, 0.1437113850363767, 0.10761934943617703, 0.38881934032221255, 0.25784992520523375]","[0.004, 0.004, 0.984, 0.004, 0.004]",200,1,False,max_rounds,0.05,1,198,0.005323104455920574,0.010367070014278093,0.010367070014278093,stage3_l_opt,l_opt_current_alpha,1.7527613011276462,0.10200000000000001,476245,1087410,ok,eval,,"[0.0, 0.0, 1.0, 0.0, 0.0]",0,10.0
11,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[2.0915473112553886e-05, 0.2783186153922114, 0.3112011667562441, 0.31351073630522674, 0.09694856607320518]","[0.01797847899841736, 0.3224725285925699, 0.2652966693202064, 0.05036233800748039, 0.34388998508132596]",[],22,21,False,uninformative_contribution,0.5,21,0,0.02055351236055682,0.02926345666249593,0.02926345666249593,stage3_l_opt,l_opt_current_alpha,,0.01797847899841736,45070,190365,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 0.0, 0.2613874717781035, 0.36816250163097336, 0.3704500265909231]",5,10.0
11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[2.0915473112553886e-05, 0.2783186153922114, 0.3112011667562441, 0.31351073630522674, 0.09694856607320518]","[0.17568374602558567, 0.21226088509944005, 0.20720734839797594, 0.199793855111205, 0.20505416536579346]","[0.12420544801714149, 0.3043106541107985, 0.05801095333396046, 0.24147887373073215, 0.2719940708073675]",4,2,False,uninformative_contribution,0.25,1,2,0.0011814563731805206,0.01026738869647185,0.01026738869647185,stage3_l_opt,l_opt_current_alpha,0.40134938614491933,0.17568374602558567,10225,31825,ok,eval,,"[0.12265862042565458, 0.30643944297020254, 0.05511321768771476, 0.24232538135788995, 0.27346333755853824]",0,10.0
12,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[2.3715650421973248e-05, 0.6520047603629564, 0.048802997178967696, 0.16071962719525115, 0.1384488996124028]","[0.00782282457773533, 0.005693052751554145, 0.07348047784705375, 0.4552837480099143, 0.4577198968137425]",[],81,80,False,uninformative_contribution,0.5,80,0,0.03926273392499629,0.04173939488828182,0.04173939488828182,stage3_l_opt,l_opt_current_alpha,,0.00782282457773533,166330,680640,ok,opt_fallback,no_positive_eval_contribution,"[0.19645033763078706, 0.14695894340293694, 0.656590718966276, 0.0, 0.0]",5,10.0
12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[2.3715650421973248e-05, 0.6520047603629564, 0.048802997178967696, 0.16071962719525115, 0.1384488996124028]","[0.13419789072560576, 0.13355276718078113, 0.13413271685540715, 0.2235944031641247, 0.37452222207408126]","[0.016353126269147075, 0.01937584175516339, 0.011743709647138436, 0.6515326961827733, 0.30099462614577777]",200,6,False,max_rounds,0.05,3,196,0.02064430705699727,0.010884940003355345,0.010884940003355345,stage3_l_opt,l_opt_current_alpha,0.8558765860372972,0.13419789072560576,470575,1943630,ok,eval,,"[0.012605230886884772, 0.015689634444044278, 0.007901744537896363, 0.6607476491660952, 0.30305574096507937]",0,10.0
13,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[2.2913323808352608e-05, 0.18405664842243655, 0.37100906078117074, 0.19717801832772475, 0.24773335914485947]","[0.9000649136642785, 0.004251081104270357, 0.0044283682778604545, 0.053101073236470314, 0.03815456371712049]","[0.8999809293867842, 0.004286073384800814, 0.004458540752360588, 0.05315629629489743, 0.03811816018115692]",78,77,True,fixed_point_tolerance,0.5,77,0,0.008028864005794197,0.01049853271494309,0.01049853271494309,stage3_l_opt,l_opt_current_alpha,0.0002407756269156196,0.9000649136642785,165020,642900,ok,eval,,"[0.9142662544763104, 0.0002919116171436881, 0.00046789872689855937, 0.05015948601520146, 0.034814449164445836]",0,10.0
13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[2.2913323808352608e-05, 0.18405664842243655, 0.37100906078117074, 0.19717801832772475, 0.24773335914485947]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.30278674261002353, 0.3238849627317723, 0.35801505129486855, 0.011313243363335735, 0.004000000000000001]",200,0,False,max_rounds,0.05,0,199,0.005410578866840725,0.006543563989301522,0.006543563989301522,stage3_l_opt,l_opt_current_alpha,0.7693735132733286,0.2,442800,1753015,ok,eval,,"[0.3048844312347178, 0.32641322727731864, 0.3612398482600699, 0.007462493227893606, 0.0]",0,10.0
14,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.232946021113949e-05, 0.11083162412558545, 0.10532268789353486, 0.5631019856649274, 0.22070137285574118]","[0.1389866990321301, 0.029915455565209283, 0.09213748059091052, 0.10880504546396369, 0.6301553193477865]",[],20,19,False,uninformative_contribution,0.5,19,0,0.020429036658427255,0.02110267182191213,0.02110267182191213,stage3_l_opt,l_opt_current_alpha,,0.1389866990321301,7455,126740,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 0.0, 0.02501840946364694, 0.0, 0.974981590536353]",5,10.0
14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.232946021113949e-05, 0.11083162412558545, 0.10532268789353486, 0.5631019856649274, 0.22070137285574118]","[0.15100000000000002, 0.15100000000000002, 0.15100000000000002, 0.15100000000000002, 0.396]","[0.3595975745833927, 0.004, 0.44567213135402306, 0.13868632580070978, 0.05204396826187449]",200,2,False,max_rounds,0.05,1,198,0.006839444478000197,0.0068010662992795306,0.0068010662992795306,stage3_l_opt,l_opt_current_alpha,1.0065394118748316,0.15100000000000002,85100,1411270,ok,eval,,"[0.3628546679422375, 0.0, 0.4506858483204317, 0.13743502632725488, 0.049024457410076015]",0,9.999999999999998
15,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.6393653359256187e-05, 0.37029495637411625, 0.09661245520439424, 0.43423056371511676, 0.09884563105301342]","[0.0040000237775950995, 0.9835016168481157, 0.004000094137412346, 0.004000763721148964, 0.0044975015157279]","[0.004, 0.984, 0.004, 0.004, 0.004]",25,24,True,fixed_point_tolerance,0.5,24,0,0.006150515014273952,0.018196467620631058,0.018196467620631058,stage3_l_opt,l_opt_current_alpha,0.0009967663037686392,0.0040000237775950995,50960,214965,ok,eval,,"[0.0, 1.0, 0.0, 0.0, 0.0]",0,10.0
15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.6393653359256187e-05, 0.37029495637411625, 0.09661245520439424, 0.43423056371511676, 0.09884563105301342]","[0.04152976913118831, 0.4589087532178092, 0.049892080689424446, 0.4014868255042573, 0.04818257145732075]","[0.03560028886944383, 0.3910952564858202, 0.047780181750139275, 0.3279905699390023, 0.1975337029555944]",200,4,False,max_rounds,0.05,3,196,0.006076687430846554,0.010369614077111086,0.010369614077111086,stage3_l_opt,l_opt_current_alpha,0.29870226299654734,0.04152976913118831,424170,2050125,ok,eval,,"[0.032245192723922275, 0.3949951596794084, 0.04467365484708089, 0.33060262238673704, 0.1974833703628514]",0,10.0
16,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[9.44830123365321e-06, 0.33433986372828944, 0.4484925528268071, 0.16361062039438065, 0.05354751474928907]","[0.4683724115553849, 0.004043427691535923, 0.23112686677293814, 0.17538377378710235, 0.12107352019303874]",[],36,35,False,uninformative_contribution,0.5,35,0,0.007115111156051852,0.0175957636286815,0.0175957636286815,stage3_l_opt,l_opt_current_alpha,,0.4683724115553849,79485,322050,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 0.8571143007012345, 0.1428856992987655, 0.0, 0.0]",5,10.0
16,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[9.44830123365321e-06, 0.33433986372828944, 0.4484925528268071, 0.16361062039438065, 0.05354751474928907]","[0.28978116737367215, 0.25594752957163, 0.22265166159791083, 0.14187095717094111, 0.089748684285846]","[0.22302662523678077, 0.2277413876190839, 0.2226403324546173, 0.18447042196705446, 0.14212123272246355]",200,8,False,max_rounds,0.05,4,195,0.018098115729903455,0.014591893181204796,0.014591893181204796,stage3_l_opt,l_opt_current_alpha,0.18994402646546188,0.28978116737367215,462555,1587845,ok,eval,,"[0.22349655636406202, 0.22830753838682033, 0.22310238005573196, 0.1841534918031168, 0.14094003339026892]",0,10.0
17,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.161699881990765e-05, 0.07936906634256284, 0.29767245067172365, 0.4025055542472084, 0.22042131173968518]","[0.016250000000000004, 0.029446224372550935, 0.281911854454807, 0.21185446304103278, 0.4605374581316093]",[],5,4,False,uninformative_contribution,0.5,4,0,0.030908902377205824,0.03657860308885574,0.03657860308885574,stage3_l_opt,l_opt_current_alpha,,0.016250000000000004,9465,31470,ok,opt_fallback,no_positive_eval_contribution,"[0.49812028179087553, 0.0, 0.0, 0.5018797182091245, 0.0]",5,10.0
17,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.161699881990765e-05, 0.07936906634256284, 0.29767245067172365, 0.4025055542472084, 0.22042131173968518]","[0.15100000000000002, 0.20378489749020373, 0.15100000000000002, 0.33545557017274175, 0.15875953233705462]",[],3,2,False,uninformative_contribution,0.25,1,1,0.026975215616058146,0.0204402394592762,0.0204402394592762,stage3_l_opt,l_opt_current_alpha,,0.15100000000000002,4095,21525,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 0.0, 0.4952877350673106, 0.5047122649326894, 0.0]",5,10.0
18,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[5.888061518003546e-05, 0.12593646768647127, 0.24757861753918503, 0.46339271449052866, 0.16303331966863496]","[0.47506089118912753, 0.12645315111334185, 0.18568306002599597, 0.15102472682679466, 0.06177817084474015]",[],3,2,False,uninformative_contribution,0.5,2,0,0.004630050789085948,0.018493361150225002,0.018493361150225002,stage3_l_opt,l_opt_current_alpha,,0.47506089118912753,1845,24495,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],5,
18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[5.888061518003546e-05, 0.12593646768647127, 0.24757861753918503, 0.46339271449052866, 0.16303331966863496]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.01514258707602439, 0.2978126044533673, 0.5347322401039837, 0.11319988498766415, 0.039112683378960574]",200,0,False,max_rounds,0.05,0,199,0.021326765182045463,0.008691210920612017,0.008691210920612017,stage3_l_opt,l_opt_current_alpha,0.865089689114702,0.2,61355,1788050,ok,eval,,"[0.011369986812269785, 0.2998087800544564, 0.5415635103101873, 0.11142845406904503, 0.03582926875404139]",0,9.999999999999998
19,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.929043318902676e-05, 0.10487306067938192, 0.09261045343399532, 0.3529325538234938, 0.44953464162994006]","[0.10200000000000001, 0.14255036561204487, 0.32867395153666545, 0.17945469589878665, 0.24732098695250307]",[],2,1,False,uninformative_contribution,0.5,1,0,0.0006637444661058978,0.056256032238403954,0.056256032238403954,stage3_l_opt,l_opt_current_alpha,,0.10200000000000001,3795,11965,ok,opt_fallback,no_positive_eval_contribution,"[0.2341130734993511, 0.7658869265006489, 0.0, 0.0, 0.0]",5,10.0
19,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.929043318902676e-05, 0.10487306067938192, 0.09261045343399532, 0.3529325538234938, 0.44953464162994006]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.004, 0.08510073122408973, 0.45734790307333084, 0.15890939179757327, 0.2946419739050061]",2,0,False,uninformative_contribution,0.5,0,1,0.03953888047085097,0.024833256999651592,0.024833256999651592,stage3_l_opt,l_opt_current_alpha,0.7039797539566739,0.2,3795,11965,ok,eval,,"[0.0, 0.08275584818784666, 0.4625999010952356, 0.15807080795670742, 0.29657344276021036]",0,10.0
