seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
5,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[20, 18, 3]","[0.3728539235895875, 0.3526556687394589, 0.2744904076709535]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.0,0,0,0.0201095437757748,0.020472523445884388,0.020472523445884388,stage3_l_opt,l_opt_current_alpha,,0.0,297,840,rejected_uninformative_contribution,
5,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[20, 18, 3]","[0.3728539235895875, 0.3526556687394589, 0.2744904076709535]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.5,0,0,0.0201095437757748,0.020472523445884388,0.020472523445884388,stage3_l_opt,l_opt_current_alpha,,0.0,297,840,rejected_uninformative_contribution,
6,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[18, 19, 3]","[0.3493537306424939, 0.37236512971503266, 0.2782811396424733]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.7609663681102717, 0.1203605529500675, 0.11867307893966082]",1,False,no_update_baseline,0.0,0,0,0.00632532611649772,0.011468042309085527,0.011468042309085527,stage3_l_opt,l_opt_current_alpha,0.8552660695538767,0.0,690,1473,ok,10.0
6,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[18, 19, 3]","[0.3493537306424939, 0.37236512971503266, 0.2782811396424733]","[0.41179826198636393, 0.29412884999617817, 0.29407288801745785]",[],3,False,uninformative_contribution,0.5,2,0,0.004470190129957086,0.015637246891856194,0.015637246891856194,stage3_l_opt,l_opt_current_alpha,,0.0,1752,5376,rejected_uninformative_contribution,
7,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[15, 13, 9]","[0.46598568727126066, 0.2556701080586334, 0.27834420467010595]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.8193768128334695, 0.1739565204998637]",1,False,no_update_baseline,0.0,0,0,0.001179535245689145,0.012473986173669497,0.012473986173669497,stage3_l_opt,l_opt_current_alpha,0.9720869590002725,0.0,723,912,ok,10.0
7,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[15, 13, 9]","[0.46598568727126066, 0.2556701080586334, 0.27834420467010595]","[0.013372868472257715, 0.23767448330905908, 0.7489526482186832]","[0.006666666666666667, 0.006666666666666667, 0.9866666666666667]",20,False,max_rounds,0.5,20,0,0.002237460940250069,0.012358151997129122,0.012358151997129122,stage3_l_opt,l_opt_current_alpha,0.4754280368959669,0.0,7659,19905,ok,10.0
8,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[1, 18, 9]","[0.4665876591765998, 0.2816303085285814, 0.2517820322948189]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.0,0,0,0.015631065190199023,0.00694695549706618,0.00694695549706618,stage3_l_opt,l_opt_current_alpha,,0.0,537,1074,rejected_uninformative_contribution,
8,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[1, 18, 9]","[0.4665876591765998, 0.2816303085285814, 0.2517820322948189]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.5,0,0,0.015631065190199023,0.00694695549706618,0.00694695549706618,stage3_l_opt,l_opt_current_alpha,,0.0,537,1074,rejected_uninformative_contribution,
9,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[16, 8, 1]","[0.381457437556298, 0.28159936591932666, 0.33694319652437527]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.006666666666666667, 0.9866666666666667]",1,False,no_update_baseline,0.0,0,0,0.00979288672676772,0.00694693997502327,0.00694693997502327,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,165,1614,ok,10.0
9,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[16, 8, 1]","[0.381457437556298, 0.28159936591932666, 0.33694319652437527]","[0.16722266780408807, 0.1727773321959119, 0.66]","[0.48832552003873153, 0.5050078132946019, 0.006666666666666667]",20,False,max_rounds,0.5,20,0,0.006455479224539417,0.012578488638003668,0.012578488638003668,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,5400,29568,ok,10.0
10,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[18, 8, 14]","[0.3341963286946278, 0.32396449828209883, 0.3418391730232733]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.9866666666666667, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.0023854643988938107,0.01384574423233668,0.01384574423233668,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,216,564,ok,10.0
10,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[18, 8, 14]","[0.3341963286946278, 0.32396449828209883, 0.3418391730232733]","[0.16999999999999998, 0.66, 0.16999999999999998]",[],2,False,uninformative_contribution,0.5,1,0,0.03117590374456479,0.025400550415118534,0.025400550415118534,stage3_l_opt,l_opt_current_alpha,,0.0,528,1428,rejected_uninformative_contribution,
11,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[20, 8, 17]","[0.48645784400931996, 0.277733020137071, 0.23580913585360905]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9866653286103511, 0.006666666666666667, 0.006668004722982283]",1,False,no_update_baseline,0.0,0,0,0.009162961009462227,0.0036158470126489797,0.0036158470126489797,stage3_l_opt,l_opt_current_alpha,1.3066639905540356,0.0,756,1572,ok,10.0
11,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[20, 8, 17]","[0.48645784400931996, 0.277733020137071, 0.23580913585360905]","[0.9865071210680845, 0.006746419270833333, 0.006746459661082189]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",12,True,fixed_point_tolerance,0.5,12,0,0.00916302876149079,0.0036158631555736065,0.0036158631555736065,stage3_l_opt,l_opt_current_alpha,0.0006381823943287096,0.0,9786,17541,ok,10.0
12,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[18, 15, 17]","[0.37706601689927144, 0.2557519912584921, 0.3671819918422366]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9649627733568673, 0.008443131051744598, 0.026594095591388162]",1,False,no_update_baseline,0.0,0,0,0.004929630114647164,0.006175747762123744,0.006175747762123744,stage3_l_opt,l_opt_current_alpha,1.2632588800470679,0.0,357,1299,ok,10.000000000000002
12,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[18, 15, 17]","[0.37706601689927144, 0.2557519912584921, 0.3671819918422366]","[0.5129991553561495, 0.47647635113717257, 0.010524493506677982]","[0.5010945873800305, 0.4683597573653401, 0.03054565525462944]",20,False,max_rounds,0.5,20,0,0.008366305003150838,0.006091258178154628,0.006091258178154628,stage3_l_opt,l_opt_current_alpha,0.04004232349590289,0.0,17784,22560,ok,10.0
13,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[17, 6, 9]","[0.392236850850792, 0.34176404642194835, 0.26599910272725963]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.16794393429603727, 0.8253893990372961, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.0222433746635311,0.012428870735069117,0.012428870735069117,stage3_l_opt,l_opt_current_alpha,0.9841121314079255,0.0,315,912,ok,10.0
13,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[17, 6, 9]","[0.392236850850792, 0.34176404642194835, 0.26599910272725963]","[0.006856614336633973, 0.9864567662547374, 0.006686619408628635]","[0.006688762795242454, 0.986644570538091, 0.006666666666666667]",14,True,fixed_point_tolerance,0.5,14,0,0.022243534072541704,0.012428857075671354,0.012428857075671354,stage3_l_opt,l_opt_current_alpha,0.0007512171334140135,0.0,3168,19938,ok,10.0
14,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[15, 5, 6]","[0.4114648729408524, 0.33719269563671106, 0.2513424314224367]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9851755139437696, 0.008157819389563722, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.001376563846582331,0.008076924830675125,0.008076924830675125,stage3_l_opt,l_opt_current_alpha,1.3036843612208724,0.0,204,1668,ok,10.0
14,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[15, 5, 6]","[0.4114648729408524, 0.33719269563671106, 0.2513424314224367]","[0.986497308675007, 0.006750500070646292, 0.006752191254346781]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",12,True,fixed_point_tolerance,0.5,12,0,0.001376671898484099,0.008076914896567663,0.008076914896567663,stage3_l_opt,l_opt_current_alpha,0.0006774319666389469,0.0,2640,23151,ok,10.0
15,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[12, 16, 3]","[0.42458352407523203, 0.3089492750106594, 0.2664672009141086]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.27452419333404665, 0.7188091399992866]",1,False,no_update_baseline,0.0,0,0,0.010581442761669377,0.005644686209658782,0.005644686209658782,stage3_l_opt,l_opt_current_alpha,0.7709516133319066,0.0,861,1062,ok,10.0
15,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[12, 16, 3]","[0.42458352407523203, 0.3089492750106594, 0.2664672009141086]","[0.5783333333333334, 0.15529771500017833, 0.26636895166648833]",[],3,False,uninformative_contribution,0.5,2,0,0.0013421745294761762,0.007742129033431411,0.007742129033431411,stage3_l_opt,l_opt_current_alpha,,0.0,2421,4674,rejected_uninformative_contribution,
16,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[8, 10, 2]","[0.36554068381743127, 0.30588194063743335, 0.32857737554513533]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.4934749211597763, 0.2912611939045056, 0.21526388493571802]",1,False,no_update_baseline,0.0,0,0,0.01686086315518137,0.010718292246262232,0.010718292246262232,stage3_l_opt,l_opt_current_alpha,0.320283175652886,0.0,249,753,ok,10.0
16,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 10, 2]","[0.36554068381743127, 0.30588194063743335, 0.32857737554513533]","[0.3748104810216828, 0.30656442728455185, 0.3186250916937654]","[0.49788904727963884, 0.28874554526015683, 0.2133654074602043]",20,False,max_rounds,0.5,20,0,0.016761884877817435,0.010718351850907007,0.010718351850907007,stage3_l_opt,l_opt_current_alpha,0.24615713251591217,0.0,5013,22098,ok,10.0
17,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[19, 14, 15]","[0.43312189581145044, 0.31999163326538566, 0.24688647092316396]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.12224069860531737, 0.006666666666666667, 0.871092634728016]",1,False,no_update_baseline,0.0,0,0,0.0006508197613193899,0.0132973895718654,0.0132973895718654,stage3_l_opt,l_opt_current_alpha,1.0755186027893653,0.0,441,1191,ok,10.0
17,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[19, 14, 15]","[0.43312189581145044, 0.31999163326538566, 0.24688647092316396]","[0.22778701596932535, 0.16999999999999998, 0.6022129840306747]",[],2,False,uninformative_contribution,0.5,1,0,0.03552485067873421,0.01989417461057504,0.01989417461057504,stage3_l_opt,l_opt_current_alpha,,0.0,1449,1902,rejected_uninformative_contribution,
18,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[8, 10, 6]","[0.45959297867582394, 0.28565078512786485, 0.2547562361963112]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.0,0,0,0.011424451487007669,0.0025246466199556985,0.0025246466199556985,stage3_l_opt,l_opt_current_alpha,,0.0,117,525,rejected_uninformative_contribution,
18,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 10, 6]","[0.45959297867582394, 0.28565078512786485, 0.2547562361963112]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.5,0,0,0.011424451487007669,0.0025246466199556985,0.0025246466199556985,stage3_l_opt,l_opt_current_alpha,,0.0,117,525,rejected_uninformative_contribution,
19,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[10, 8, 18]","[0.3984081239269777, 0.3523335035096514, 0.2492583725633708]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.42792124313182955, 0.17527883983251621, 0.3967999170356542]",1,False,no_update_baseline,0.0,0,0,0.02030142701241855,0.011026526490847269,0.011026526490847269,stage3_l_opt,l_opt_current_alpha,0.3161089870016342,0.0,300,609,ok,10.0
19,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[10, 8, 18]","[0.3984081239269777, 0.3523335035096514, 0.2492583725633708]","[0.4366265222379349, 0.16073087121414056, 0.40264260654792455]","[0.4365667494897158, 0.1608308955978208, 0.4026023549124634]",8,True,fixed_point_tolerance,0.5,8,0,0.02219378338090111,0.01107329378525416,0.01107329378525416,stage3_l_opt,l_opt_current_alpha,0.0004000975347209501,0.0,4680,5154,ok,10.0
20,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[17, 11, 10]","[0.4483165027008619, 0.28458531095705364, 0.2670981863420845]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.0,0,0,0.003687141118953449,0.011514744410912195,0.011514744410912195,stage3_l_opt,l_opt_current_alpha,,0.0,135,1509,rejected_uninformative_contribution,
20,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[17, 11, 10]","[0.4483165027008619, 0.28458531095705364, 0.2670981863420845]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.5,0,0,0.003687141118953449,0.011514744410912195,0.011514744410912195,stage3_l_opt,l_opt_current_alpha,,0.0,135,1509,rejected_uninformative_contribution,
21,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[2, 9, 10]","[0.40623913667891914, 0.36194171975397477, 0.23181914356710612]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.023977897795143116,0.017993309224645298,0.017993309224645298,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,243,1233,ok,10.0
21,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[2, 9, 10]","[0.40623913667891914, 0.36194171975397477, 0.23181914356710612]","[0.9865043182935823, 0.006748501344212755, 0.006747180362204901]","[0.9866640072003645, 0.006668906217236874, 0.006667086582398578]",12,True,fixed_point_tolerance,0.5,12,0,0.009730379549861515,0.00424720657368501,0.00424720657368501,stage3_l_opt,l_opt_current_alpha,0.0006387556271287998,0.0,2523,15102,ok,9.999999999999998
22,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[1, 19, 6]","[0.3883730512755489, 0.3242492465842478, 0.28737770214020336]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.00841400321158365,0.01162319133679072,0.01162319133679072,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,288,816,ok,10.0
22,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[1, 19, 6]","[0.3883730512755489, 0.3242492465842478, 0.28737770214020336]","[0.9864790243303219, 0.006751846891504108, 0.00676912877817403]","[0.9866312370588877, 0.006672793591320189, 0.006695969349792144]",12,True,fixed_point_tolerance,0.5,12,0,0.0020376753071077724,0.00280926376581192,0.00280926376581192,stage3_l_opt,l_opt_current_alpha,0.0006088509142632183,0.0,7332,15504,ok,10.0
23,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[3, 18, 5]","[0.36609480630527397, 0.3196368032667526, 0.31426839042797344]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9452531748305166, 0.048080158502816765, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.008365745529336378,0.0029726848006248474,0.0029726848006248474,stage3_l_opt,l_opt_current_alpha,1.2238396829943665,0.0,138,780,ok,10.0
23,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[3, 18, 5]","[0.36609480630527397, 0.3196368032667526, 0.31426839042797344]","[0.6648735941717092, 0.16756629664147982, 0.167560109186811]","[0.7290757783428302, 0.13547095388849265, 0.13545326776867714]",20,False,max_rounds,0.5,20,0,0.008402506535460083,0.002702313164869944,0.002702313164869944,stage3_l_opt,l_opt_current_alpha,0.12840436834224203,0.0,2994,23385,ok,10.0
24,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[13, 20, 7]","[0.4572396236279282, 0.2299679008300801, 0.3127924755419918]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.09440774627799073, 0.7855279390515507, 0.12006431467045862]",1,False,no_update_baseline,0.0,0,0,0.024665167353697344,0.0026645331333080926,0.0026645331333080926,stage3_l_opt,l_opt_current_alpha,0.9043892114364347,0.0,162,1317,ok,10.0
24,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[13, 20, 7]","[0.4572396236279282, 0.2299679008300801, 0.3127924755419918]","[0.006767921664760508, 0.9864569898268082, 0.006775088508431376]","[0.006666666666666665, 0.9866657461448844, 0.00666758718844883]",12,True,fixed_point_tolerance,0.5,12,0,0.02460265048773364,0.007042243455847104,0.007042243455847104,stage3_l_opt,l_opt_current_alpha,0.000835025272305525,0.0,3093,16155,ok,10.0
25,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[9, 19, 20]","[0.3675861669249263, 0.3532777682294573, 0.2791360648456166]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.6491201486048535, 0.34421318472847995, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.003103267579252991,0.009039748149613539,0.009039748149613539,stage3_l_opt,l_opt_current_alpha,0.6533333333333334,0.0,1164,843,ok,10.0
25,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[9, 19, 20]","[0.3675861669249263, 0.3532777682294573, 0.2791360648456166]","[0.5619869547492714, 0.4313451046112843, 0.006667940639444399]","[0.5334130824637193, 0.45992025086961397, 0.006666666666666667]",20,False,max_rounds,0.5,20,0,0.006928811941164388,0.006546546084185441,0.006546546084185441,stage3_l_opt,l_opt_current_alpha,0.0571502925166595,0.0,15600,23937,ok,10.0
26,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[10, 14, 16]","[0.35936896272190333, 0.36784069323264207, 0.2727903440454546]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.19317006295811096, 0.40338181416717855, 0.40344812287471044]",1,False,no_update_baseline,0.0,0,0,0.03602305573937403,0.006435994029743597,0.006435994029743597,stage3_l_opt,l_opt_current_alpha,0.2803265407504447,0.0,369,1203,ok,10.0
26,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[10, 14, 16]","[0.35936896272190333, 0.36784069323264207, 0.2727903440454546]","[0.31581292453643056, 0.09708939343756398, 0.5870976820260054]",[],4,False,uninformative_contribution,0.5,3,0,0.03499180287032855,0.012010801583528519,0.012010801583528519,stage3_l_opt,l_opt_current_alpha,,0.0,1119,4986,rejected_uninformative_contribution,
27,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[5, 13, 14]","[0.3674759152413462, 0.2800519508443133, 0.35247213391434046]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.0,0,0,0.005495516020414176,0.008671447013815245,0.008671447013815245,stage3_l_opt,l_opt_current_alpha,,0.0,255,720,rejected_uninformative_contribution,
27,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[5, 13, 14]","[0.3674759152413462, 0.2800519508443133, 0.35247213391434046]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.5,0,0,0.005495516020414176,0.008671447013815245,0.008671447013815245,stage3_l_opt,l_opt_current_alpha,,0.0,255,720,rejected_uninformative_contribution,
28,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[20, 13, 8]","[0.4588398695621773, 0.2746355426572469, 0.2665245877805758]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.006666666666666667, 0.9866666666666667]",1,False,no_update_baseline,0.0,0,0,0.0004162951191339567,0.01142459021260341,0.01142459021260341,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,927,1212,ok,10.0
28,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[20, 13, 8]","[0.4588398695621773, 0.2746355426572469, 0.2665245877805758]","[0.011770847817823433, 0.011770833333333335, 0.9764583188488433]",[],7,False,uninformative_contribution,0.5,6,0,0.03930139571140848,0.03060052419702212,0.03060052419702212,stage3_l_opt,l_opt_current_alpha,,0.0,5844,7959,rejected_uninformative_contribution,
29,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[8, 16, 15]","[0.41202678844060914, 0.34370584556674505, 0.24426736599264584]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.465021863437632, 0.5283114698957013, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.008316854230900408,0.006732244665424029,0.006732244665424029,stage3_l_opt,l_opt_current_alpha,0.6533333333333333,0.0,159,1569,ok,10.0
29,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 16, 15]","[0.41202678844060914, 0.34370584556674505, 0.24426736599264584]","[0.46518420015545514, 0.47591037808122627, 0.058905421763318574]",[],12,False,uninformative_contribution,0.5,11,0,0.00347288731740264,0.008994973575075468,0.008994973575075468,stage3_l_opt,l_opt_current_alpha,,0.0,7413,15228,rejected_uninformative_contribution,
