seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,final_raw_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,final_raw_consistency_l1,final_solver_audit_status,solver_recovery_attempts,solver_recovery_successes,selected_poison_weight,stage3_requests,contribution_requests,payment_status,payment_contribution_source,payment_fallback_reason,payment_contribution_weights,payment_requests,paid_total,initial_coalition_ids,final_coalition_ids,coalition_rounds_executed,pruning_log
10,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,"[1, 2, 4]","[0.23951594723444636, 0.2252543128614208, 0.5352297399041329]","[0.42687716143466864, 0.5146973866508215, 0.058425451914509874]","[0.4193708404092498, 0.5215566293130601, 0.059072530277690105]","[0.42112670790059503, 0.5253979210677483, 0.05347537103165656]",20,19,False,max_rounds,0.125,17,2,0.062470035460994056,0.003331650203714768,0.003331650203714768,stage3_l_opt,l_opt_current_alpha,0.015012642050837632,0.021401068833853676,recovered_informative,20,20,0.0,99444,193938,ok,eval,,"[0.42112670790059514, 0.5253979210677484, 0.053475371031656574]",0,10.0,"[15, 1, 2, 3, 4]","[1, 2, 4]",3,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 15, ""pruning_candidate_contribution"": -0.0022129733115434647, ""removed_agent_id"": 15, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [1, 2, 3, 4], ""coalition_round"": 1, ""pruning_candidate_agent_id"": 3, ""pruning_candidate_contribution"": -0.0009054590482264757, ""removed_agent_id"": 3, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [1, 2, 4], ""coalition_round"": 2, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""recovered_informative"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[2.0915473112553886e-05, 0.2783186153922114, 0.3112011667562441, 0.31351073630522674, 0.09694856607320518]","[0.167173826954405, 0.22447719632856883, 0.18977586080084705, 0.20487077747880753, 0.21370233843737166]","[0.1313130697010978, 0.23704680374119078, 0.21195784857506186, 0.2009339339028583, 0.2187483440797913]","[0.1299112956133651, 0.23780286096039874, 0.21220188630108353, 0.20095299377842685, 0.2191309633467258]",20,8,False,max_rounds,0.05,4,15,0.007944547674628141,0.006923812751968701,0.006923812751968701,stage3_l_opt,l_opt_current_alpha,0.07959520165851283,0.08236063008284111,not_needed,1,1,0.167173826954405,64460,176015,ok,eval,,"[0.1299112956133651, 0.23780286096039874, 0.21220188630108353, 0.20095299377842685, 0.2191309633467258]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[2.3715650421973248e-05, 0.6520047603629564, 0.048802997178967696, 0.16071962719525115, 0.1384488996124028]","[0.13419789072560576, 0.13355276718078113, 0.13413271685540715, 0.2235944031641247, 0.37452222207408126]","[0.016353126269147075, 0.01937584175516339, 0.011743709647138436, 0.6515326961827733, 0.30099462614577777]","[0.012605230886884772, 0.015689634444044278, 0.007901744537896363, 0.6607476491660952, 0.30305574096507937]",20,6,False,max_rounds,0.05,3,16,0.02064430705699727,0.010884940003355345,0.010884940003355345,stage3_l_opt,l_opt_current_alpha,0.8558765860372972,0.8743064920039411,not_needed,0,0,0.13419789072560576,44875,194030,ok,eval,,"[0.012605230886884772, 0.015689634444044278, 0.007901744537896363, 0.6607476491660952, 0.30305574096507937]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,"[15, 2, 3]","[4.032545029743798e-05, 0.6529435696699956, 0.3470161048797072]","[0.25166666666666665, 0.38982176840238986, 0.3585115649309435]","[0.006666666666666667, 0.5901763384323895, 0.40315699490094387]","[0.0, 0.5954180324140028, 0.4045819675859972]",20,2,False,max_rounds,0.05,1,18,0.012669523721402232,0.00657838707168897,0.00657838707168897,stage3_l_opt,l_opt_current_alpha,0.49,0.5033333333333333,recovered_informative,19,19,0.25166666666666665,94910,324196,ok,eval,,"[0.0, 0.5954180324140028, 0.4045819675859972]",0,10.0,"[15, 1, 2, 3, 4]","[15, 2, 3]",3,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 4, ""pruning_candidate_contribution"": -0.000936141237616539, ""removed_agent_id"": 4, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [15, 1, 2, 3], ""coalition_round"": 1, ""pruning_candidate_agent_id"": 1, ""pruning_candidate_contribution"": -2.9327813535928726e-05, ""removed_agent_id"": 1, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [15, 2, 3], ""coalition_round"": 2, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""recovered_informative"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,"[15, 2, 3, 4]","[4.7605674425288e-05, 0.11845078024728416, 0.6332906128281596, 0.24821100125013087]","[0.17174579819233854, 0.18637890264388463, 0.18019605927240312, 0.46167923989137377]","[0.12701802972744372, 0.1836848225520587, 0.25007834767900916, 0.4392188000414884]","[0.12450819359943238, 0.18233145158373337, 0.25007994661123384, 0.4430804082056004]",20,8,False,max_rounds,0.05,4,15,0.009474714021772341,0.003998920321464539,0.003998920321464539,stage3_l_opt,l_opt_current_alpha,0.13976457681321217,0.1397677746776615,not_needed,0,0,0.17174579819233854,19212,223050,ok,eval,,"[0.12450819359943238, 0.18233145158373337, 0.25007994661123384, 0.4430804082056004]",0,10.0,"[15, 1, 2, 3, 4]","[15, 2, 3, 4]",2,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 1, ""pruning_candidate_contribution"": -0.0008077894647916155, ""removed_agent_id"": 1, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [15, 2, 3, 4], ""coalition_round"": 1, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[1.6393653359256187e-05, 0.37029495637411625, 0.09661245520439424, 0.43423056371511676, 0.09884563105301342]","[0.04152976913118831, 0.4589087532178092, 0.049892080689424446, 0.4014868255042573, 0.04818257145732075]","[0.03560028886944383, 0.3910952564858202, 0.047780181750139275, 0.3279905699390023, 0.1975337029555944]","[0.032245192723922275, 0.3949951596794084, 0.04467365484708089, 0.33060262238673704, 0.1974833703628514]",20,4,False,max_rounds,0.05,3,16,0.006076687430846554,0.010369614077111086,0.010369614077111086,stage3_l_opt,l_opt_current_alpha,0.29870226299654734,0.2986015978110613,not_needed,0,0,0.04152976913118831,41670,192525,ok,eval,,"[0.032245192723922275, 0.3949951596794084, 0.04467365484708089, 0.33060262238673704, 0.1974833703628514]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
16,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[9.44830123365321e-06, 0.33433986372828944, 0.4484925528268071, 0.16361062039438065, 0.05354751474928907]","[0.28978116737367215, 0.25594752957163, 0.22265166159791083, 0.14187095717094111, 0.089748684285846]","[0.22302662523678077, 0.2277413876190839, 0.2226403324546173, 0.18447042196705446, 0.14212123272246355]","[0.22349655636406202, 0.22830753838682033, 0.22310238005573196, 0.1841534918031168, 0.14094003339026892]",20,8,False,max_rounds,0.05,4,15,0.018098115729903455,0.014591893181204796,0.014591893181204796,stage3_l_opt,l_opt_current_alpha,0.18994402646546188,0.1878492043888395,not_needed,0,0,0.28978116737367215,44055,165845,ok,eval,,"[0.22349655636406202, 0.22830753838682033, 0.22310238005573196, 0.1841534918031168, 0.14094003339026892]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
17,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,"[1, 2, 3, 4]","[0.07937157583358231, 0.29768186247881834, 0.40251828066721324, 0.22042828102038609]","[0.3309893785672079, 0.11741946395745614, 0.43940365747533594, 0.11218750000000001]","[0.2933674939216628, 0.3853078418145044, 0.3162956171602526, 0.005029047103580185]","[0.29425254481802327, 0.388069226341331, 0.3176485889390333, 2.9639901612433542e-05]",20,4,False,max_rounds,0.05,2,17,0.01679905286082156,0.016472757793962955,0.016472757793962955,stage3_l_opt,l_opt_current_alpha,0.5357767557140964,0.5412995247677497,not_needed,1,1,0.0,20238,131328,ok,eval,,"[0.29425254481802327, 0.388069226341331, 0.3176485889390333, 2.9639901612433542e-05]",0,10.0,"[15, 1, 2, 3, 4]","[1, 2, 3, 4]",2,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 15, ""pruning_candidate_contribution"": -0.008708835889895758, ""removed_agent_id"": 15, ""solver_audit_status"": ""audited_uninformative"", ""stage3a_stop_reason"": ""audited_uninformative"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [1, 2, 3, 4], ""coalition_round"": 1, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[5.888061518003546e-05, 0.12593646768647127, 0.24757861753918503, 0.46339271449052866, 0.16303331966863496]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.01514258707602439, 0.2978126044533673, 0.5347322401039837, 0.11319988498766413, 0.039112683378960574]","[0.011369986812269786, 0.29980878005445644, 0.5415635103101875, 0.11142845406904504, 0.035829268754041396]",20,0,False,max_rounds,0.05,0,19,0.021326765182045463,0.008691210920612017,0.008691210920612017,stage3_l_opt,l_opt_current_alpha,0.865089689114702,0.8827445807292876,not_needed,0,0,0.2,7355,179750,ok,eval,,"[0.011369986812269785, 0.2998087800544564, 0.5415635103101873, 0.11142845406904503, 0.03582926875404139]",0,9.999999999999998,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
19,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[4.929043318902676e-05, 0.10487306067938192, 0.09261045343399532, 0.3529325538234938, 0.44953464162994006]","[0.17297914822909893, 0.17174140968827123, 0.26553787750415414, 0.17359693295744646, 0.21614463162102932]","[0.17311728159184553, 0.17633112958616895, 0.24544866550063904, 0.21513360538379084, 0.1899693179375557]","[0.17256865468555665, 0.17584809141445812, 0.24637618928636637, 0.21544245447325597, 0.18976461014036294]",20,10,False,max_rounds,0.05,6,13,0.041668689733565134,0.023572536806265514,0.023572536806265514,stage3_l_opt,l_opt_current_alpha,0.0925290513739774,0.09190440648399281,not_needed,1,1,0.17297914822909893,40995,121955,ok,eval,,"[0.17256865468555665, 0.17584809141445812, 0.24637618928636637, 0.21544245447325597, 0.18976461014036294]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
